Test group name,Sample name,Length,Width,Thickness,Speed (%/min),Force cell,Données brutes,,
,,(mm),(mm),(mm),(%),(N),,,
20240523_test_1,,0,0,0,0,100,VRAI,,
,,,,,,,,,
Tableau de résultats 1,,,,,,,,,
,Sample name,Length,Speed (%/min),Thickness,Width,Waiting time,Initial length between the clamps,Date de début,Déformation 1 longueur initiale
,,(mm),(%),(mm),(mm),(s),(mm),,(mm)
1,rtv_1mm,4.77,60,1,4,0,45,23/05/2024,4.77
,,,,,,,,,
Tableau de résultats 2,,,,,,,,,
,Sample name,Thickness,Length,Initiql length between the clamps,Speed (%/min),Initial length between the clamps,Waiting time,Date de début,
,,(mm),(mm),(mm),(%),(mm),(s),,
1,rtv_1mm,1,4,4.77,60,45,0,23/05/2024,
,,,,,,,,,
Time (s),Displacement (mm),Shifted displacement 10.89 (mm),Force (N),Strain AS (%),Stress AS (kPa),Nombre total de cycles,Nombre de cycles,Extenso strain (%),
5.63,14.2671,25.1572,0.2865,-415.9926,71.6187,0.5,0.5,5.063,
5.65,14.265,25.155,0.2863,-416.0376,71.5861,0.5,0.5,5.0532,
5.67,14.2626,25.1526,0.2859,-416.087,71.4781,0.5,0.5,5.0465,
5.69,14.2599,25.1499,0.2857,-416.1444,71.4232,0.5,0.5,5.0482,
5.71,14.2562,25.1462,0.285,-416.2217,71.2596,0.5,0.5,5.0589,
5.73,14.2509,25.1409,0.284,-416.3331,70.9959,0.5,0.5,5.0591,
5.75,14.2442,25.1342,0.283,-416.4746,70.7588,0.5,0.5,5.052,
5.77,14.2367,25.1267,0.2827,-416.6312,70.6722,0.5,0.5,5.0409,
5.79,14.2288,25.1188,0.2821,-416.797,70.5324,0.5,0.5,5.0222,
5.81,14.2207,25.1107,0.281,-416.9665,70.2498,0.5,0.5,5.006,
5.83,14.2124,25.1024,0.2793,-417.14,69.8334,0.5,0.5,4.9928,
5.85,14.2034,25.0934,0.2783,-417.3282,69.569,0.5,0.5,4.9784,
5.87,14.194,25.084,0.2771,-417.5261,69.2667,0.5,0.5,4.9623,
5.89,14.1841,25.0741,0.2757,-417.7343,68.9225,0.5,0.5,4.9432,
5.91,14.1739,25.0639,0.2742,-417.9467,68.5517,0.5,0.5,4.9302,
5.93,14.1635,25.0535,0.2734,-418.1647,68.352,0.5,0.5,4.9105,
5.95,14.1533,25.0433,0.2718,-418.3795,67.9386,0.5,0.5,4.8824,
5.97,14.143,25.033,0.2711,-418.5951,67.7635,0.5,0.5,4.8634,
